Notion	Philosophe	Idée
Bonheur	Hobbes	Le désir est l'inquiétude d’acquérir puissance après puissance.
Bonheur	Jankélévitch	L’existence, à l’intersection de l’aventure, de l’ennui et du sérieux, rend compte de l'exigeance du bonheur.
Bonheur	Kant	Ne pas chercher à être heureux mais à se rendre digne du bonheur : Le devoir moral est désintéressé, et donne donc à l'homme une fin qui ne peut être confondue avec la recherche du bonheur. Plutôt que de vouloir le bonheur à tout prix, l'homme qui honore en lui la loi morale doit seulement chercher à en être digne.
Bonheur	Lucrèce	Le malheur naît d’un espoir vain de posséder, et non pas du plaisir charnel en tant que tel.
Bonheur	Malebranche	Nous n'aimons pas tant notre être que notre bien-être. Nous ne pouvons pas ne pas vouloir être heureux. Selon Malebranche, ce désir de bonheur est logé si profondément en nous que nous y sommes plus attachés encore qu à notre propre existence.
Bonheur	Mill	Le bonheur est-il la même chose que la satisfaction des désirs ? N'existe-t-il pas un état de bonheur supérieur qui suppose au contraire une certaine forme d'insatisfaction ? Mieux vaut être Socrate insatisfait qu un imbécile satisfait.
Bonheur	Mill	Si l’expérience est un guide fiable pour se repérer dans les plaisirs, l’estimation de leur valeur respective est nécessairement collégiale.
Bonheur	Nietzsche	Un degré d’oubli est nécessaire à la vie et au bonheur.
Bonheur	Pascal	La condition humaine est misérable et rien ne peut nous en consoler. Aussi le seul bonheur de l'homme se trouve-t-il dans le divertissement, qui nous empêche au moins d'y penser.
Bonheur	Pascal	Nous cherchons par tous les moyens des divertissements, pour ne pas penser à notre condition misérable
Bonheur	Platon	Dans <i>Le Banquet</i>, Platon prête au comique Aristophane un mythe expliquant que la quête inlassable d'amour chez les hommes vient d'une séparation originelle : l'amour serait alors la guérison de la nature humaine.
Bonheur	Platon	Un homme ayant une vie déréglée ressemblerait au tonneau percé des danaïdes : il tenterait sans cesse de se remplir, en vain. En fait, pour être heureux il importe plutôt de travailler sur soi pour réussir à se satisfaire de ce qu’on a.
Bonheur	Rosset	Pour Clément Rosset, disciple de Nietzsche, plutôt que de chercher à tout prix le bonheur en fuyant le malheur, l'homme doit rechercher la joie, qui est une approbation de l'existence toute entière.
Bonheur	Rousseau	« Malheur à celui qui n’a rien à désirer ! » Le désir est important en lui-même, c’est lui qui donne du sens et de la valeur à nos vies.
Bonheur	Rousseau	L’éducation donnée par les hommes est contraire à celle prodiguée par la nature.
Bonheur	Rousseau	Malheur à qui n'a plus rien à désirer ! Le désir est illusoire parce qu il nous fait imaginer une réalité conforme à nos passions. Soit ! dit Julie à Saint-Preux dans cet extrait du roman <i>La Nouvelle Héloïse</i> ; dans ce cas c'est dans le plaisir de désirer plus encore que dans le plaisir de posséder que se trouve le bonheur de l'homme.
Bonheur	Russell	Une des sources de la misère morale, de la fatigue et de la tension nerveuse est l’incapacité de s’intéresser à tout ce qui n’est pas d’une importance pratique dans la vie.
Bonheur	Scheler	L'accroissement du bonheur par la maximisation des plaisirs, promis par les utilitaristes, est une entreprise vouée à l'échec, selon Max Scheler ; elle relève en effet d'une conception superficielle du bonheur (réduite à sa mesure sensorielle), qui ignore les couches les plus profondes de la personne, où se joue pourtant la véritable béatitude.
Bonheur	Schopenhauer	Le bonheur est d'essence négative. Le bonheur n'est jamais senti positivement, en lui-même, mais toujours relativement à un désir ou une souffrance qui l'a précédé, et qu il apaise temporairement.
Bonheur	Schopenhauer	Si les tourments de la volonté nous condamnent au malheur, tout bonheur est impossible
Bonheur	Spinoza	Il ne faut pas condamner absolument tout usages des plaisirs.
Bonheur	Zhuangzi	Le malheur de l’homme vient souvent de la tension excessive de sa volonté, qui peut l’empêcher d’obtenir la fin voulue.
Conscience	Avicenne	L’esprit est indépendant du corps.
Conscience	Bentham	Ce n’est pas la conscience de soi qui détermine la valeur morale d’un être, mais sa capacité à sentir – en particulier à ressentir du plaisir ou de la peine. Les animaux ne sont certes pas des personnes, mais cela ne les empêche pas d’être un objet de respect.
Conscience	Bergson	La conscience de soi est temporelle de part en part : réfléchissant à la notion de durée, Bergson pose la question d’une supposée menace d’hétérogénéité qui pèserait sur le moi.
Conscience	Bergson	La conscience est mémoire en ceci qu elle incorpore dans son présent et retient en elle-même toute la durée de l'expérience passée.
Conscience	Comte	Comte s’intéresse à la constitution d’une psychologie scientifique, d’une véritable science de l’esprit humain. C’est dans ce contexte qu’il interroge les prétentions de l’esprit à donner une véritable connaissance de soi.
Conscience	Descartes	Descartes s'appuie sur l'expérience du doute radical (la supposition que tout ce au sujet de quoi nous pouvons imaginer le moindre doute est faux), pour établir l'existence de sa propre pensée consciente. Le fait même de douter de tout établit cette existence : Je ne peux douter de mon existence comme être pensant.
Conscience	Descartes	Il existe des vérités qui échappent au doute.
Conscience	Descartes	La pensée, distincte de l’imagination, est un attribut qui m’appartient, qui seule ne peut être détachée de moi.
Conscience	Descartes	Mon existence en tant que conscience est la seule vérité absolue
Conscience	Hegel	Le retour réflexif sur soi, l’introspection, est une façon de développer la conscience de soi. Mais il est une autre voie, dont l’importance est généralement sous-estimée : la pratique, qui suppose une relation à ce qui est hors de soi. Comment peut-on prendre conscience de soi-même par l’extériorité ?
Conscience	Hume	Mettant à l’épreuve la méthode introspective, par laquelle le sujet pourrait se contempler lui-même, Hume pose les jalons d’une critique radicale de la compréhension du moi comme substance homogène. Questionnant l’idée que nous avons du moi, le philosophe se demande si cette idée correspond bien à une perception d’un moi unique et uniforme.
Conscience	Hume	Nous n'avons aucune impression du moi. Critiquant implicitement Descartes, Hume montre que la conscience intime du moi est une fausse évidence. Quelque effort que nous fassions pour rentrer en nous-mêmes, nous ne trouvons jamais que des perceptions particulières à chaque fois différentes, nous ne rencontrons jamais le moi.
Conscience	Husserl	En 1905, constituant une phénoménologie de la conscience intime du temps, Husserl médite la métaphore – promise à une fortune certaine au xx <sup>e</sup> siècle – du flux de la conscience. Est-ce une métaphore seulement ?
Conscience	Husserl	La conscience me révèle un monde. Husserl s'attache à décrire le phénomène de la conscience tel que nous le vivons dans l'attitude naturelle : la conscience nous rend présent un monde d'êtres et d'objets dont l'horizon déborde du contenu de notre perception immédiate.
Conscience	James	James, au début du huitième chapitre des <i>Essais d’empirisme radical</i>, indique : je voudrais vous communiquer quelques doutes qui me sont venus au sujet de la notion de conscience qui règne dans tous nos traités de psychologie.
Conscience	James	William James introduit sa conception du courant de conscience. La pensée n'est pas une suite discontinue d'états mentaux mais un flux continu dont l'écoulement est rythmé par des haltes et des envolées.
Conscience	Jankélévitch	Depuis Cicéron dans les <i>Tusculanes</i> (II, 64), la métaphore du théâtre intérieur a permis de qualifier la conscience, conjointement dans ses dimensions représentative et morale. Jankélévitch reprend et discute cette tradition.
Conscience	Kant	C’est la conscience de soi qui fait de l’homme autre chose qu’une simple chose : une personne
Conscience	Kant	Dans ses <i>Remarques générales sur l’Esthétique transcendantale</i>, Kant souligne que l’intuition ne nous fait connaître que des rapports entre des phénomènes et non la chose en soi, qui serait la chose vue indépendamment de la manière dont elle nous apparaît. Il en tire alors les conséquences en ce qui concerne l’intuition interne.
Conscience	Kant	La conscience nous élève au-dessus des bêtes. C'est par sa capacité à se concevoir lui-même comme sujet de sa pensée que l'homme acquiert sa dignité d'homme, et devient ce que nulle bête ne peut être : une personne.
Conscience	Locke	Ayant défini la conscience comme le sentiment intérieur que nous avons de nos propres pensées et de nos propres actions, Locke montre que la personne, le sujet de la responsabilité morale et juridique, se définit essentiellement par la conscience. On ne peut imputer une faute à une personne que si celle-ci est capable, grâce à la conscience, de reconnaître les actes passés comme siens : ainsi la conscience nous rend responsables.
Conscience	Locke	Si une personne est sujette à de nombreux changements physiques et psychiques au cours du temps, il semble acquis qu’elle reste une seule et même personne. Quel est donc le fondement de son identité ? Serait-ce la continuité de la conscience de soi ?
Conscience	Malebranche	À la fin du livre III de <i>La recherche de la vérité</i>, Malebranche distingue différentes manières de voir les choses, c'est-à-dire de les connaître. La théorie de la vision en Dieu, dont le présupposé est théologique, implique, sur le plan philosophique, qu il serait possible de connaître de façon certaine des vérités mathématiques, physiques et morales par idées claires et distinctes. De ce genre de connaissance, Malebranche distingue ici la connaissance par conscience, ou par sentiment intérieur.
Conscience	Marx	La liberté et la conscience ne sont pas de simples phénomènes subjectifs. Les contenus de la conscience sont déterminés par les conditions matérielles dans lesquelles vit l’individu ; la liberté, elle-même, n’est pas qu’un fait psychologique individuel, mais est l’objet d’une lutte collective d’essence politique.
Conscience	Nagel	Dans le cours d'un argument destiné à montrer que l'expérience consciente a un caractère subjectif qui ne peut pas être ramené aux propriétés objectives du cerveau ou du comportement, Thomas Nagel explique que nous ne pouvons pas nous représenter la conscience d'une chauve-souris, l'effet que cela fait intérieurement de percevoir le monde comme cet animal le fait.
Conscience	Nietzsche	 Toutes nos actions sont au fond incomparablement personnelles, singulières […] mais lorsque nous les traduisons en conscience, elles ne semblent plus l’être, remarque Nietzsche dans <i>Le Gai Savoir</i> (§ 354). Approfondissant ce paradoxe, le Solitaire de Sils-Maria remonte à l’origine d’une conscience que nous croyons souvent innée et essentielle à l’homme.
Conscience	Nietzsche	Dire Je Pense est une affirmation téméraire ! Loin d'être une certitude immédiate, l'énoncé qui dit Je Pense est lourd de présuppositions injustifiées.
Conscience	Nietzsche	Le « je pense » n’est aucunement une substance. Descartes a été pris au piège de la grammaire, qui lui a fait conclure que le « je » avait une consistance propre, absolument séparée du corps.
Conscience	Pascal	L'homme, roseau pensant : Pascal met en évidence le paradoxe de l'existence humaine, entre grandeur et misère. L'homme n'est rien au regard de l'univers des choses non-pensantes qui le déborde de toute part, et pourtant, en s'élevant par la pensée à la conscience de lui-même et de sa propre misère, il se révèle porteur d'une grandeur et d'une dignité que rien dans la nature non-pensante ne peut égaler.
Conscience	Plotin	Une conscience trop présente provoquerait l’excès de savoir et de réflexivité.
Conscience	Rousseau	La conscience est notre guide moral. Rousseau donne la parole au vicaire savoyard, un ancien curé de campagne. L'homme est, selon lui, doué d'un instinct moral, la conscience.
Conscience	Rousseau	Quelle est l’origine de l’attachement fragile des hommes au bien et à la moralité ? Rousseau, dans le livre IV de l’<i>Émile</i>, soutient qu’ il est donc au fond des âmes un principe inné de justice et de vertu, sur lequel, malgré nos propres maximes, nous jugeons nos actions et celles d’autrui comme bonnes ou mauvaises : la conscience.
Conscience	Sartre	Distinguant le mode d’être des choses et le mode d’être de la conscience, Sartre avance que le garçon de café ne peut être immédiatement garçon de café, au sens où cet encrier est encrier. Sartre développe alors une description de l’attitude et des gestes de ce garçon de café et pose le problème du jeu de la conscience.
Conscience	Sartre	Être conscient, c’est être libre
Conscience	Sartre	La conscience n'a pas de dedans. Se faisant ici le disciple de Husserl, Jean-Paul Sartre caractérise la conscience par son intentionnalité, le fait d'être toujours dirigée vers un objet.
Conscience	Smith	Après avoir montré l’importance morale de la capacité à reproduire, en imagination, les sentiments et la situation d’autrui – ce que l’on appelle sympathie –, Smith explique, dans la troisième partie de la <i>Théorie des sentiments moraux</i>, comment le sujet peut se prendre lui-même pour objet d’évaluation morale. Il recourt à la notion de spectateur impartial, véritable personnification de la conscience morale.
Devoir	Anscombe	Dans <i>L’Intention</i>, Elizabeth Anscombe critique la conception ordinaire de l’intention comme état mental interne antérieur à l’action et cause de l’action. Son argumentation réactualise la distinction aristotélicienne entre raisonnement théorique et raisonnement pratique. C’est dans ce contexte qu’elle analyse la différence entre le jugement et la volonté, le vrai et le bien.
Devoir	Arendt	Le mal vient d’abord de l’incapacité de certains à penser leurs propres actions
Devoir	Aristote	Pour Aristote, dans l’<i>Éthique à Nicomaque</i>, la question morale n’est pas, ou pas seulement, que dois-je faire ?, mais qui suis-je, qui fais ce que je fais ?. Dès lors, la morale s’entend comme un équilibre entre des excès et des défauts, équilibre qui relève autant de la règle en elle-même que du caractère de la personne. Comment caractériser cet équilibre ?
Devoir	Bentham	Bentham, dès les années 1770, se montre soucieux de refondre les principes du droit et de développer sa codification. Dans l’<i>Introduction aux principes de morale et de législation</i>, il discute le principe d’utilité, défini comme le principe qui approuve ou désapprouve toute action, quelle qu’elle soit, selon la tendance qu’elle semble avoir à augmenter ou à diminuer le bonheur de la partie dont l’intérêt est en jeu.
Devoir	Cicéron	Le devoir change selon les circonstances. Il faut apprécier les circonstances et les conséquences d’une action pour savoir où est notre devoir. En effet, une conception trop formaliste du devoir ne peut conduire qu’à des tragédies.
Devoir	Cicéron	Parmi toutes les actions qui constituent les pratiques humaines, une discrimination fine doit être opérée. Certes, le bien, dans la tradition stoïcienne, se résume à l’action vertueuse, c’est-à-dire harmonieuse. Mais cette caractérisation du bien nous dispense-t-elle de faire la part entre des actions qui sont préférables, que Cicéron nomme offices, et des actions non préférables, dont il faut se prémunir ?
Devoir	de Beauvoir	Je m’engage envers l’autre lorsque je le contrains moralement. Que faire lorsque l’autre se détourne de sa liberté, veut se nuire ou se tuer ? Loin d’appliquer une règle universelle, je choisirai d’être présent auprès de lui. Le soin que je prends d’un malade, d’un faible ou d’un désespéré ne m’ouvre pas des droits sur lui, mais des devoirs.
Devoir	Durkheim	La conscience morale n'est rien d'autre que la voix de la société. Le devoir se fait entendre en nous comme une voix mystérieuse, souvent attribuée à des divinités imaginaires, mais qui est en fait celle d'un être supérieur réel : la société. La sociologie pourrait ainsi détenir la clé de notre existence morale.
Devoir	Durkheim	Le devoir n’est qu’une des deux faces de notre rapport à la société. Respect du devoir et amour du bien restent deux types distincts, mais complémentaires, de relation au réel social.
Devoir	Freud	Dans <i>Le Malaise dans la culture</i>, Freud fait l’hypothèse que le penchant à l’agression est une prédisposition originelle et autonome de l’homme. La culture peut-elle limiter les effets de ce penchant à l’agression ?
Devoir	Habermas	L’impératif catégorique ne peut rester formel et absolu. Il faut corriger l’approche kantienne de l’impératif catégorique pour pouvoir faire face aux conflits de normes. On pourra maintenir ainsi une morale du devoir et assurer la validité de son application aux situations réelles.
Devoir	Hegel	L’évaluation morale d’une action porte aussi bien sur ses conséquences objectives que sur les intentions subjectives qui la gouvernent. C’est dire que l’exercice ne va pas de soi. Et il se complique encore si l’on considère la possibilité de conséquences involontaires. Dans quelle mesure sommes-nous moralement responsables des suites imprévues, et parfois imprévisibles, de nos actions ?
Devoir	Hegel	La morale n’est pas déterminée par sa simple forme logique (son universalité). Au contraire, la morale consiste bien plutôt à faire vivre les règles particulières de la communauté historique à laquelle on appartient, enracinées dans la coutume et la tradition.
Devoir	Hume	Après avoir défini la raison comme la découverte du vrai et du faux et le vrai et le faux comme un accord des idées entre elles ou avec les faits, Hume se demande si les énoncés moraux sont susceptibles de cet accord. S’ils ne le sont pas, peuvent-ils être des objets de raison ?
Devoir	Jonas	 Par suite de certains développements de notre pouvoir […] l’agir humain s’est transformé, affirme Jonas dans <i>Le Principe responsabilité</i>. Dans la mesure où l’éthique a affaire à l’agir, n’est-il pas nécessaire de reconnaître de nouvelles obligations éthiques envers l’humanité et la nature ?
Devoir	Jonas	Nos nouveaux pouvoirs appellent de nouveaux devoirs. Le développement des techniques et leur impact sur l’homme et l’environnement nous amènent à nous doter de nouveaux principes moraux, et à prendre nos responsabilités pour les générations futures.
Devoir	Kant	D’après Kant, la loi morale est un fait de la raison qui prescrit formellement ce que nous devons faire. Objectivement, elle se présente donc comme un principe contraignant nos inclinations. Est-ce à dire que subjectivement, agir par devoir ne procure qu’un sentiment de peine et de soumission ?
Devoir	Kant	Dans la troisième antinomie de la <i>Critique de la raison pure</i>, Kant tente d’éviter la contradiction entre la nécessité absolue et la liberté. Il soutient qu’il est possible de considérer tout acte selon deux points de vue : celui de la causalité déterministe, par laquelle on remonte la chaîne des causes qui ont produit l’acte, et celui de la causalité par liberté. L’acte peut alors être imputé à un agent autonome, qui se détermine lui-même par rapport à ce que lui dicte sa raison.
Devoir	Kant	La morale ne peut pas reposer sur le plaisir, sinon elle n’aurait plus rien d’absolu. Une action peut produire plus de plaisir que de douleur, et en même temps être absolument immorale, si elle porte atteinte à la dignité humaine.
Devoir	Kant	La raison énonce la loi morale sous trois formulations. Dire que le devoir existe, c'est dire que le sujet est obligé dès qu il se représente la loi morale, grâce à la raison, sous une de ses trois formes : 1. Un acte moral doit pouvoir être universalisable, l'universalité étant la forme même de la loi. 2. Un être raisonnable, une personne, doit toujours traiter une personne comme une fin et non seulement comme un moyen. 3. La volonté autonome d'un être raisonnable est d'être uni avec tout autre être raisonnable sous une loi universelle.
Devoir	Kant	Le devoir est absolument invariable. Pour Constant, ne pas mentir n’est qu’un impératif hypothétique (relatif aux conditions et aux conséquences) et un devoir est toujours l’envers d’un droit. Pour Kant, l’impératif d’un devoir est au contraire catégorique (indépendant des conditions et des conséquences) et le devoir ne répond pas au droit d’autrui mais d’abord à la dignité morale de l’humanité. Peu importe quand l’on ment, ou à qui l’on ment, mentir ne peut jamais être moral.
Devoir	Kant	Le devoir moral est essentiellement supérieur à tous les autres devoirs : c’est le seul qui soit absolu
Devoir	Kant	On accomplit son devoir, selon Kant, lorsqu’on agit avec l’intention de respecter la loi morale, formulée sous la forme d’un impératif catégorique : Agis uniquement d’après une maxime telle que tu puisses vouloir en même temps qu’elle devienne une loi universelle. Dans le chapitre iii de la <i>Critique de la raison pratique</i>, Kant prend soin de distinguer cette action accomplie par devoir d’un fanatisme moral, qui menace la vie éthique.
Devoir	Lévinas	L’altérité, sous la forme d’autrui, de Dieu ou du temps, précéderait l’individu, selon Levinas. Dès lors, autrui et son visage viennent inquiéter le moi et l’ appeler à sa responsabilité : injonction et appel qui précèdent tout devoir et le fondent.
Devoir	Lévinas	Le visage d'autrui exprime mon devoir. Le visage est à la fois vulnérable (car il est fait de chair) et inaltérable (car un être qui m échappe, autrui, s'y donne à voir). Sa rencontre, d'emblée éthique, me bouleverse en défiant paradoxalement mon pouvoir de tuer. Il exprime en moi, à travers son dénuement sensible, l'infinie résistance qui énonce mon devoir.
Devoir	Marc-Aurèle	Pour suivre la nature, je dois suivre ma nature d'homme. Marc Aurèle se livre à un exercice spirituel reposant sur un dialogue intérieur. Il développe le thème de l'appropriation (<em>oikeiosis</em>), pensée selon laquelle chaque être de la nature doit vivre selon sa nature propre afin d'être en accord avec l'ordre nécessaire du monde. Le devoir d'un être doué de raison comme l'homme, c'est d'agir au sein de la société, et non de rester couché !
Devoir	Milgram	On peut étudier de façon expérimentale la soumission à l’autorité. Plus de 60 % des individus peuvent infliger des chocs électriques mortels à un homme sous la pression d’une autorité reconnue comme légitime. (Expérience de Milgram)
Devoir	Mill	Dans <i>L’Utilitarisme</i>, Mill répond aux objections adressées à une philosophie morale fondée sur la maximisation de l’utilité au plus grand nombre. Entre autres critiques, on objecte à l’utilitarisme son incapacité à fonder des principes moraux, tel le devoir de véracité qui semble prescrire certaines actions contre l’utilité, qu’elle soit personnelle ou collective.
Devoir	Mill	Un seul principe doit régler la morale individuelle et l’action politique : il faut maximiser le plaisir du plus grand nombre d’individus
Devoir	Nagarjuna	Nagarjuna recommande d'exercer son esprit à adhérer à des thèses qui l'amèneront aux vertus de bienveillance, d'amitié, de tempérance et de tolérance.
Devoir	Nietzsche	 « Dans ce livre on trouve au travail un être “souterrain”, de ceux qui forent, qui sapent, qui minent », annonce Nietzsche en ouverture d’<i>Aurore</i>. Loin de célébrer l’élévation morale de l’homme, Nietzsche interroge l’origine historique, psychologique et sociale de la moralité.
Devoir	Poincaré	Poincaré soutient la thèse déjà énoncée par Hume en 1740, dans le <i>Traité de la nature humaine</i> : les moralistes ont tort de vouloir conclure de l'être au devoir-être. Ainsi toute théorie du devoir est vouée à l'échec.
Devoir	Ricoeur	Le devoir de mémoire rend justice à l’autre. Notre devoir moral peut aussi s’étendre aux hommes du passé. Il prend alors la forme d’un devoir de mémoire animé d’un esprit de justice envers les victimes, devoir qui doit rester altruiste, lucide et désintéressé, et ne pas être confondu avec le travail des historiens.
Devoir	Rousseau	L'homme social doit tout à la société. Mon existence n'est pas solitaire, mais sociale, et de ce fait morale. Je ne dois donc pas seulement prendre conscience des vices engendrés par certains de mes rapports sociaux, je dois aussi avoir une attitude éthique envers le corps social dans son ensemble, et reconnaître la dette que j'ai envers la société.
Devoir	Rousseau	La moralité s'enracine dans le sentiment naturel de pitié. L'homme est naturellement affecté par la souffrance de ses semblables. C'est sur ce fonds sentimental, bien plus que sur la rationalité, que peut s'établir le devoir moral de l'individu, condition de la survie de l'espèce.
Devoir	Smith	Chez l'homme en société, certaines vertus servent l'égoïsme, d'autres l'altruisme, et s'y ajoute la capacité de se projeter à la place d'autrui. Pour harmoniser cet ensemble, un homme doit écouter le spectateur impartial qui est en lui.
Devoir	Weber	Dans <i>Le Savant et le Politique</i>, Weber propose de distinguer l’attitude du savant de l’attitude de l’homme politique, engagé dans l’action et nécessairement confronté à son caractère contingent. C’est dans ce cadre qu’il envisage une éthique de la responsabilité qui serait le propre de l’homme politique, attentif aux circonstances et aux conséquences de son action.
